                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.60024,                0.75475,                0.85423,                0.83496,                0.73695,                0.83235,                 0.7316,                0.39552,                0.65151,                0.82645,              0.0033294,              0.0033294,              0.0033294
                      2,                0.50601,                0.67262,                0.83127,                0.84646,                0.68922,                0.85782,                0.75529,                0.43773,                0.63698,                0.82649,              0.0065968,              0.0065968,              0.0065968
                      3,                0.52182,                0.67036,                 0.8309,                0.83063,                 0.7654,                0.85331,                0.74993,                0.36752,                0.62862,                0.82029,              0.0097982,              0.0097982,              0.0097982
                      4,                0.50155,                0.66168,                0.82757,                0.76298,                0.82299,                0.84042,                0.76531,                0.34443,                0.59187,                0.82003,               0.009703,               0.009703,               0.009703
                      5,                0.46698,                0.62278,                0.82251,                0.84944,                0.80663,                0.89216,                0.81242,                0.33396,                 0.5336,                0.81656,               0.009703,               0.009703,               0.009703
                      6,                0.43345,                0.59438,                 0.8183,                0.80531,                0.81144,                0.88407,                0.80938,                0.31255,                0.51792,                0.81199,               0.009604,               0.009604,               0.009604
                      7,                0.41602,                0.57942,                0.81417,                0.83583,                0.82397,                0.89402,                0.82014,                0.30805,                0.49202,                0.80844,               0.009505,               0.009505,               0.009505
                      8,                0.39893,                0.55201,                0.81133,                0.87064,                 0.8054,                0.90861,                0.84903,                0.28039,                0.48199,                0.80469,               0.009406,               0.009406,               0.009406
                      9,                0.38678,                0.53923,                0.80956,                0.85255,                0.81831,                0.89579,                0.83236,                0.28838,                0.48008,                0.80172,               0.009307,               0.009307,               0.009307
                     10,                0.37652,                0.52822,                0.80782,                0.83551,                0.78881,                0.88229,                0.81643,                0.27738,                0.47834,                0.80335,               0.009208,               0.009208,               0.009208
                     11,                0.36603,                0.51584,                0.80616,                0.85093,                0.83207,                0.90751,                 0.8485,                0.26316,                0.45179,                0.80489,               0.009109,               0.009109,               0.009109
                     12,                0.35883,                0.50215,                0.80514,                0.88164,                0.81753,                0.90547,                0.84203,                0.26509,                0.41792,                0.80025,                0.00901,                0.00901,                0.00901
                     13,                0.35428,                0.49559,                0.80193,                 0.8629,                0.82844,                 0.9084,                0.84941,                0.25029,                0.42244,                0.79982,               0.008911,               0.008911,               0.008911
                     14,                0.34851,                0.48928,                0.80327,                0.87018,                0.82823,                0.90794,                0.84599,                0.24866,                0.42574,                0.79929,               0.008812,               0.008812,               0.008812
                     15,                0.34312,                 0.4841,                 0.8023,                0.89016,                0.83361,                0.92232,                0.85402,                0.24434,                0.41442,                0.80138,               0.008713,               0.008713,               0.008713
                     16,                0.34002,                0.47735,                0.80161,                0.91085,                0.81004,                 0.9193,                0.86221,                0.23901,                0.41556,                0.80082,               0.008614,               0.008614,               0.008614
